<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
161221;000000;155.43;156.73;153.01;153.06;22587980
161222;000000;153.21;153.34;149.72;150.27;29725390
161223;000000;150.28;151.19;147.22;149.05;24962550
161226;000000;149;149.86;148.8;148.95;7009350
161227;000000;149.05;151.03;149.05;150.38;9642840
161228;000000;150.6;152.6;149.6;151;17016680
161229;000000;150.72;153.29;149.9;152.62;14803850
161230;000000;152.64;154.55;152.6;154.55;15709020
170103;000000;154.46;158.2;154.12;157.7;24739730
170104;000000;156.99;157.44;155.76;157.44;15488900
170105;000000;157.24;158.7;153.17;154;25440490
170106;000000;154.12;154.47;152.05;154.1;12306060
170109;000000;154.2;155.5;153.3;154.4;12914820
170110;000000;154.01;158.02;154;157.97;26095400
170111;000000;157.51;158.5;155.81;157.01;20651880
170112;000000;158.3;158.48;155.53;157.25;24015080
170113;000000;157.48;158.3;155.77;157.95;23314640
170116;000000;157.98;158.2;155.58;155.81;16946090
170117;000000;155.81;156.5;153.01;153.65;25891620
170118;000000;154.2;154.59;152.65;152.86;16206860
170119;000000;153.3;153.56;148.23;150.85;41950940
170120;000000;150.81;151.2;147.7;149.7;33215450
170123;000000;149.85;149.85;147.1;148.1;22477970
170124;000000;148.25;150.5;148.25;150.15;22349450
170125;000000;150.28;150.87;147.15;147.65;30598170
170126;000000;147.71;151.28;147.16;150.49;26458480
170127;000000;150.33;154.53;149.91;154.09;37163920
170130;000000;153.68;153.9;150.35;150.8;21526460
170131;000000;150.59;151.42;149.15;149.8;28259280
170201;000000;150.05;150.38;148.32;149.65;20765250
170202;000000;149.82;150.45;148.15;148.8;20492720
170203;000000;148.85;150.2;148.37;149.35;20814340
170206;000000;149.38;149.7;147.63;148.5;22086970
170207;000000;148.3;148.7;147.6;148.7;13840720
170208;000000;148.22;148.22;143.9;145.2;64427740
170209;000000;145.34;145.6;141.57;142.11;52175480
170210;000000;142.67;143.14;140.5;140.5;41104060
170213;000000;141.11;142.67;140.02;141.2;25967100
170214;000000;141.27;141.49;139.85;140.62;20220020
170215;000000;140.45;141.5;138.92;139.72;36920930
170216;000000;139.93;140.3;138.01;139.16;33168350
170217;000000;139.26;139.42;137.23;138.12;32101640
170220;000000;138.59;140.13;137.4;138.5;24702920
170221;000000;138.6;139.6;138;138.35;21680250
170222;000000;138.63;138.78;136.05;136.68;27399460
170224;000000;136.51;137.2;135.6;136.75;17160200
170227;000000;137.15;137.48;135.07;135.07;24033800
170228;000000;135.7;135.89;132;134;98572140
170301;000000;133.45;134.99;133;133.85;38089190
170302;000000;134.05;135.1;131.3;131.3;42646250
170303;000000;131.15;134.9;130.64;134.8;39932510
170306;000000;134.84;135.97;134.32;134.6;28037340
170307;000000;135.13;135.13;131.9;132.89;28851710
170309;000000;132.05;133.26;128.81;129;53078370
170310;000000;129.25;130.88;127.8;128.78;33482710
170313;000000;128.7;130.55;127.82;129.93;34286840
170314;000000;130.02;131.34;128.32;128.8;39437470
170315;000000;129.23;129.69;127.2;127.6;30974550
170316;000000;128.42;129.3;127.61;128.05;51272510
170317;000000;128.13;130.42;128.01;128.94;42848850
170320;000000;129.34;130.13;128.02;128.79;30291150
170321;000000;129.02;130.42;128.51;129.3;37858520
170322;000000;129.07;131.65;128.9;131.65;36178550
170323;000000;131.79;132.94;130.22;130.99;39340300
170324;000000;130.77;131.48;129.72;130.05;20544290
170327;000000;129.45;129.47;127.41;128.8;28915460
170328;000000;129;129.6;128.1;129.2;23646730
170329;000000;129.13;129.78;128.55;128.81;15784750
170330;000000;129.15;129.99;128.2;128.49;28682860
170331;000000;128.49;128.64;126.8;127.9;29052680
170403;000000;128.09;128.5;127.02;127.21;19832730
170404;000000;127.55;128.9;126.8;128.81;26293950
170405;000000;128.88;131.25;128.82;130.69;34434130
170406;000000;130.18;130.93;129.55;130.5;23581140
170407;000000;129.7;129.89;127.84;128.72;27362790
170410;000000;128.1;128.4;125.81;126.16;29799810
170411;000000;125.97;127.69;125.5;126;32626680
170412;000000;127.06;127.45;124.62;125.05;28702040
170413;000000;125.65;125.95;123.5;124.54;42139090
170414;000000;124.27;124.37;122.63;122.85;14689130
170417;000000;123.01;124.03;122.25;123.7;21595230
170418;000000;124.09;124.39;122.03;122.22;22081750
170419;000000;122.36;123.15;121.25;121.55;28911230
170420;000000;121.3;121.99;120.55;121.99;32955940
170421;000000;122.15;123.64;122.13;123;29465300
170424;000000;123.56;128.4;123.38;128;66751830
170425;000000;128.5;131.75;127.98;130.2;57382670
170426;000000;130.19;134;130.01;133.43;57635150
170427;000000;133.37;136.6;132.22;133.41;99542840
170428;000000;136;137.77;135.05;136.75;52186090
170502;000000;137.25;138.43;136.28;136.52;33809990
170503;000000;136.45;138.09;135.1;135.81;33129650
170504;000000;135.89;136.41;134.3;134.93;31945660
170505;000000;133.7;134.94;132.91;134.41;26216280
170510;000000;134.98;135.43;133.51;134.19;23714000
170511;000000;134.57;134.75;130.37;131.1;36600410
170512;000000;131.41;132.5;130.2;132.5;23886540
170515;000000;132.79;133.92;129.28;131.5;46356520
170516;000000;131.41;133.07;130.27;131.13;22519330
170517;000000;130.97;132.18;130.6;132.07;17611290
170518;000000;131.37;132.84;125.85;126.9;80113110
170519;000000;127.3;127.4;124;124.19;57664570
170522;000000;124.49;124.49;122.17;122.52;39193160
170523;000000;122.58;123.71;121.96;123.23;34369260
170524;000000;123.3;123.67;120.92;122;32248550
170525;000000;122.32;122.47;120.75;121.61;24546840
170526;000000;121.4;122.2;120.54;122.2;22646890
170529;000000;122.41;123.83;122.11;123.11;24470000
170530;000000;122.72;122.91;121.79;122.1;16057320
170531;000000;122.25;122.78;119.4;120.28;55389010
170601;000000;120.29;120.98;117.24;118;48558490
170602;000000;117.8;119.69;116.55;119.69;38260450
170605;000000;119.59;120.99;118.55;119;24767790
170606;000000;119.09;120.24;118.66;119.05;18193840
170607;000000;119.33;121.44;118.85;118.92;27870030
170608;000000;119.19;120.11;117.82;119.3;27514310
170609;000000;119.32;120.5;118.95;120.5;21294170
170613;000000;120.29;120.38;118.15;118.15;31058980
170614;000000;118.26;118.54;115.1;115.35;47003760
170615;000000;115.25;115.75;111.46;115.49;120644420
170616;000000;115.81;117.25;114.6;116.02;40336010
170619;000000;116;117.45;115.79;117.33;21749140
170620;000000;117.51;119;116.56;117.44;29930700
170621;000000;117.5;118.32;116.84;117.97;23560060
170622;000000;117.78;119.78;116.86;119.55;31513190
170623;000000;119.52;120.09;118.66;119.1;23303360
170626;000000;119.5;119.97;118.26;118.67;18274640
170627;000000;118.4;119.75;118.02;119.35;18365790
170628;000000;118.72;119.7;118.19;119.7;21106940
170629;000000;120.18;120.88;118.8;119.16;26435690
170630;000000;118.95;120.22;118.18;118.49;22432000
170703;000000;119.17;119.93;118.75;119.86;18087840
170704;000000;120;123.29;119.72;122.73;37693640
170705;000000;122.95;123.75;122.32;122.7;26052360
170706;000000;122.82;123.65;121.44;122.68;25151140
170707;000000;122.19;123;121.4;123;24725120
170710;000000;123.26;124.62;123.03;124.25;27166510
170711;000000;124.38;124.94;123.85;124.78;20642420
170712;000000;125.01;125.3;124.19;124.87;22701550
170713;000000;124.79;125.89;124.66;125.55;29387490
170714;000000;125.67;126.35;125;125;21555180
170717;000000;125.39;125.7;124.3;125.14;23810200
170718;000000;125.09;125.75;124.49;124.49;39544710
170719;000000;118.44;120.11;118.11;120.11;42498820
170720;000000;120.29;121.27;119.81;120.6;21786790
170721;000000;120.21;120.26;118.65;118.95;20841430
170724;000000;118.54;119.4;117.92;119.17;22726670
170725;000000;119.16;119.7;117.67;118.4;23673000
170726;000000;118.35;119.12;118.25;119;22310500
170727;000000;119.12;119.35;117.83;118.68;25737570
170728;000000;118.16;118.18;115.41;116.9;34566970
170731;000000;116.71;118.18;115.08;116.1;40277050
170801;000000;116.83;118.65;116.82;117.99;28881020
170802;000000;118;119.09;117.9;119.09;20782720
170803;000000;119.13;119.99;118.85;119.58;22369700
170804;000000;119.34;119.88;118.68;119.45;17244330
170807;000000;119.32;120.38;118.9;119.5;21791100
170808;000000;119.47;119.89;119.25;119.67;14891840
170809;000000;119.39;119.46;118.02;118.68;20245120
170810;000000;118.71;119.4;118.03;118.05;18090560
170811;000000;117.56;117.85;116.34;116.93;24804530
170814;000000;117.18;117.99;117.15;117.4;13554100
170815;000000;117.12;117.7;116.51;117.59;16686400
170816;000000;117.8;117.87;116.63;116.75;19124720
170817;000000;116.72;116.95;115.92;116.22;16600490
170818;000000;115.85;116.09;115.15;116;22256230
170821;000000;116.1;116.47;115.39;115.92;16461430
170822;000000;115.99;116.73;115.68;116;16010450
170823;000000;116.09;116.27;115.07;115.75;22758830
170824;000000;115.77;116.89;115.42;116.56;18564950
170825;000000;116.82;118;116.56;117.85;21083020
170828;000000;117.79;118.75;117.54;118.75;16187340
170829;000000;118.5;118.63;116.5;118.3;27588290
170830;000000;118.4;118.9;116.88;118.2;31962280
170831;000000;117.95;119.21;117.35;117.97;41020210
170901;000000;118.02;118.26;117.04;117.4;22690580
170904;000000;117.03;117.65;116.56;117;15938500
170905;000000;117.55;117.89;115.9;116;26541020
170906;000000;116;117.58;115.66;117.14;24387110
170907;000000;117.61;119.03;117.38;117.95;37059350
170908;000000;118.2;120.45;118.16;120.34;41825350
170911;000000;120.81;121.94;119.63;121;40230290
170912;000000;121.22;122;120.16;121.99;27228360
170913;000000;121.99;124.38;121.99;123.55;51210280
170914;000000;123.57;124.19;122.79;123.33;29452320
170915;000000;122.89;123;121.59;122.5;41826920
